school,sex,age,address,internet,romantic,absences
GP,F,16,U,yes,no,6
GP,M,15,U,yes,no,10
GP,M,15,R,yes,yes,8
GP,M,16,U,yes,no,2
GP,M,15,U,no,no,2
GP,M,16,U,yes,no,0
GP,M,17,R,yes,no,20
GP,M,15,U,yes,no,6
GP,F,15,U,yes,no,2
GP,M,15,U,yes,no,6
GP,F,16,U,yes,yes,2
GP,M,16,U,yes,no,18
GP,F,16,U,yes,yes,0
GP,M,15,U,yes,no,0
GP,F,15,U,yes,yes,0
GP,F,19,U,no,no,2
GP,M,18,R,yes,no,0
GP,M,16,R,yes,no,8
GP,F,15,R,yes,yes,0
GP,F,15,U,yes,yes,0
GP,F,17,U,yes,yes,12
GP,F,16,U,yes,no,16
GP,M,15,R,no,yes,0
GP,F,15,U,yes,yes,0
GP,M,17,R,no,no,0
GP,F,16,U,yes,yes,0
GP,M,16,U,no,yes,0
GP,F,15,U,yes,no,0
GP,M,15,U,yes,no,0
GP,M,16,U,yes,no,8
GP,F,15,U,yes,no,2
GP,F,16,U,yes,no,2
GP,M,17,U,yes,no,0
GP,F,15,U,yes,no,0
GP,F,15,U,yes,no,0
GP,F,15,U,yes,no,2
GP,M,16,U,yes,yes,0
GP,M,15,U,yes,no,0
GP,M,18,U,yes,yes,0
GP,M,16,U,no,yes,6
GP,F,15,R,yes,yes,8
GP,M,19,U,yes,yes,0
GP,F,17,U,no,yes,0
GP,M,15,R,no,no,2
GP,M,17,R,no,no,8
GP,F,18,R,no,no,6
GP,M,16,R,no,no,2
GP,M,16,U,yes,yes,4
GP,M,17,R,yes,yes,0
GP,M,15,R,yes,yes,6
GP,M,16,U,no,no,0
GP,M,17,U,yes,no,2
GP,M,17,R,no,yes,0
GP,M,16,U,no,no,16
GP,M,16,U,yes,no,4
GP,F,16,U,yes,yes,0
GP,F,16,U,yes,no,0
GP,F,16,U,yes,yes,0
GP,M,16,U,yes,no,0
GP,M,16,U,yes,yes,2
GP,M,17,U,yes,no,0
GP,F,16,U,yes,yes,0
GP,F,16,U,yes,no,4
GP,M,17,U,yes,no,4
GP,F,16,U,yes,no,2
GP,M,17,U,yes,no,4
GP,M,16,R,yes,yes,10
GP,M,17,U,yes,yes,4
GP,M,16,U,yes,no,10
GP,M,16,U,yes,yes,2
GP,F,17,U,no,no,0
GP,F,17,U,yes,yes,56
GP,F,16,U,yes,no,14
GP,M,17,U,yes,yes,12
GP,M,16,U,yes,yes,2
GP,M,16,U,yes,yes,0
GP,F,17,U,yes,yes,6
GP,M,17,R,no,no,4
GP,F,16,U,yes,no,10
GP,F,17,U,yes,no,0
GP,M,17,U,yes,no,12
GP,M,16,R,yes,no,8
GP,M,16,U,yes,no,0
GP,F,17,U,yes,yes,0
GP,M,17,U,yes,no,4
GP,M,16,R,yes,no,8
GP,F,17,U,yes,no,24
GP,F,16,U,yes,no,0
GP,F,16,U,yes,no,2
GP,F,16,U,no,no,6
GP,F,17,U,no,no,4
GP,F,17,R,yes,no,18
GP,F,16,R,yes,no,6
GP,F,17,U,yes,yes,28
GP,F,16,U,yes,no,5
GP,F,16,U,yes,yes,10
GP,F,16,U,no,no,6
GP,F,17,R,yes,yes,6
GP,F,19,U,yes,no,10
GP,M,17,U,yes,yes,13
GP,F,16,U,yes,no,0
GP,M,18,U,yes,no,15
GP,F,17,R,no,no,12
GP,F,17,U,yes,no,2
GP,F,17,U,yes,yes,22
GP,M,18,U,yes,no,13
GP,F,17,U,no,no,3
GP,F,17,U,yes,no,4
GP,F,17,R,yes,no,2
GP,F,17,U,no,yes,0
GP,F,16,U,yes,no,2
GP,M,18,U,yes,no,0
GP,F,16,U,yes,no,0
GP,F,18,R,yes,yes,16
GP,F,17,U,yes,no,10
GP,M,17,U,yes,no,2
GP,M,18,U,yes,yes,14
GP,F,17,U,yes,yes,10
GP,F,17,U,yes,yes,14
GP,M,17,R,yes,no,4
GP,M,17,U,yes,yes,14
GP,M,16,U,yes,no,2
GP,M,16,U,yes,no,18
GP,M,16,U,yes,yes,10
GP,M,17,U,yes,yes,4
GP,F,16,U,yes,yes,20
GP,F,17,R,no,no,2
GP,M,18,U,yes,no,0
GP,M,17,U,yes,yes,14
GP,M,17,R,yes,no,2
GP,M,16,U,yes,no,0
GP,M,16,U,yes,no,0
GP,F,18,U,yes,yes,0
GP,M,16,U,yes,no,6
GP,M,17,U,yes,no,4
GP,M,22,U,yes,yes,16
GP,M,18,R,yes,yes,8
GP,M,16,U,yes,no,0
GP,M,18,U,yes,no,0
GP,M,16,U,yes,no,6
GP,M,18,U,yes,no,4
GP,M,16,R,no,no,0
GP,M,17,R,yes,no,0
GP,M,17,U,yes,no,2
GP,F,17,U,yes,no,6
GP,M,19,U,yes,no,12
GP,M,18,U,yes,no,8
GP,F,17,U,yes,yes,0
GP,F,18,U,yes,yes,21
GP,M,18,U,yes,no,2
GP,M,18,R,no,no,1
GP,F,17,U,no,no,4
GP,F,18,U,yes,yes,0
GP,M,18,R,yes,no,13
GP,M,17,U,yes,yes,2
GP,F,18,R,yes,no,8
GP,M,18,U,yes,yes,10
GP,F,18,R,yes,yes,0
GP,F,19,U,yes,no,15
GP,F,18,U,yes,yes,4
GP,F,18,U,no,no,2
GP,M,17,R,no,yes,2
GP,F,17,U,yes,yes,2
GP,F,17,U,yes,yes,6
GP,F,18,R,yes,yes,75
GP,M,18,U,yes,no,22
GP,F,18,U,yes,yes,15
GP,M,18,U,yes,no,8
GP,M,17,U,yes,yes,30
GP,M,17,U,yes,no,19
GP,F,18,R,no,no,1
GP,F,18,U,yes,no,4
GP,F,17,U,yes,no,4
GP,M,17,U,yes,no,2
GP,F,18,U,yes,no,5
GP,F,17,U,yes,no,6
GP,M,18,U,yes,no,6
GP,M,18,U,yes,no,9
GP,M,18,U,yes,yes,11
GP,F,17,U,yes,no,0
GP,F,18,U,yes,yes,12
GP,F,17,R,no,no,6
GP,M,18,R,yes,no,8
GP,M,17,U,yes,no,4
GP,F,19,U,yes,no,0
GP,F,18,U,yes,yes,10
GP,F,18,U,yes,no,0
GP,M,18,U,yes,yes,5
GP,F,18,U,yes,yes,14
GP,M,17,U,yes,no,0
GP,F,17,U,yes,no,0
GP,F,17,U,yes,no,0
GP,M,19,U,yes,yes,20
GP,F,18,U,yes,no,8
GP,M,20,U,no,no,0
GP,M,19,U,yes,yes,38
GP,M,19,R,no,yes,0
GP,F,19,U,yes,no,18
GP,F,19,U,no,yes,0
GP,F,19,U,yes,yes,20
GP,M,19,U,yes,no,3
GP,F,19,U,yes,yes,22
GP,F,19,U,yes,yes,14
GP,F,19,R,yes,yes,40
GP,F,18,U,yes,no,0
GP,F,18,U,yes,yes,9
GP,F,17,R,yes,no,0
GP,F,18,U,yes,no,2
GP,F,17,U,yes,yes,23
GP,F,17,U,no,yes,12
GP,F,17,R,yes,no,3
GP,F,17,U,yes,no,1
GP,F,17,U,yes,no,0
GP,M,18,U,yes,no,3
GP,M,17,U,yes,no,3
GP,M,17,R,yes,no,8
GP,F,17,U,yes,no,7
GP,F,17,U,yes,yes,4
GP,M,18,U,yes,no,2
GP,F,17,R,yes,yes,7
GP,F,18,U,yes,no,0
GP,F,18,U,yes,yes,0
GP,F,18,R,no,no,0
GP,F,17,U,yes,no,16
GP,F,19,R,no,no,12
GP,F,17,U,yes,yes,0
GP,F,18,U,yes,no,7
GP,F,17,R,yes,no,4
GP,F,19,U,yes,yes,4
GP,M,18,U,yes,no,0
GP,M,18,U,yes,yes,11
GP,F,17,U,yes,yes,0
GP,F,18,U,yes,no,4
GP,F,18,U,yes,yes,7
GP,M,18,R,yes,yes,9
GP,M,18,U,yes,yes,0
GP,F,17,U,yes,yes,0
MS,M,18,R,yes,no,10
MS,M,19,R,yes,no,8
MS,M,17,U,yes,no,2
MS,M,18,U,yes,yes,7
MS,M,19,R,yes,no,4
MS,M,17,R,yes,yes,4
MS,F,18,U,no,yes,0
MS,F,17,R,yes,no,4
MS,F,17,U,no,yes,2
MS,M,18,U,yes,yes,4
MS,F,18,U,yes,no,0
MS,F,18,R,no,yes,0
MS,M,18,R,no,no,2
MS,F,18,U,yes,yes,0
MS,F,17,U,yes,yes,0
MS,F,17,R,no,no,0
MS,M,18,R,no,no,4
MS,M,18,U,yes,yes,0
MS,F,17,R,yes,yes,0
MS,F,18,U,yes,yes,0
MS,F,18,R,yes,yes,10
MS,F,19,U,no,yes,4
MS,M,18,R,yes,yes,3
MS,F,17,U,no,yes,8
MS,F,17,R,yes,no,14
MS,F,18,R,yes,no,0
MS,F,18,R,yes,no,2
MS,F,20,U,yes,yes,4
MS,F,18,R,yes,no,4
MS,F,18,U,yes,yes,0
MS,F,17,R,yes,no,17
MS,M,18,U,yes,no,4
MS,M,18,R,yes,yes,5
MS,M,17,U,yes,no,2
MS,M,19,R,no,no,0
MS,M,18,R,no,no,14
MS,F,18,R,no,no,2
MS,F,18,R,yes,yes,7
MS,F,19,R,yes,no,0
MS,F,18,U,yes,no,0
MS,F,18,U,no,no,0
MS,M,20,U,no,no,11
MS,M,17,U,yes,no,3
MS,M,21,R,no,no,3
MS,M,18,R,yes,no,0
MS,M,19,U,yes,no,5
